"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
1.86036405690681,"+","+",NA,"+","+",48,-1591.88820384723,3281.66117976009,0,0.562699656037113
1.84590634086428,"+","+","+","+","+",49,-1591.1820651822,3282.16543352353,0.504253763435827,0.437299857890652
2.3317587173519,NA,"+",NA,"+","+",45,-1609.38240655587,3310.54259571123,28.8814159511412,3.01131967096935e-07
2.32411019359334,NA,"+","+","+","+",46,-1608.92953110651,3311.51762710884,29.8564473487513,1.84940268275256e-07
1.79865233091377,"+",NA,"+","+","+",46,-1638.31366521418,3370.01945110455,88.3582713444534,3.66034323781122e-20
1.81298288011321,"+",NA,NA,"+","+",44,-1644.80397549007,3377.9016902672,96.2405105071089,7.110748613512e-22
0.671356817401865,"+","+","+","+",NA,35,-1656.35521882935,3384.32357822363,102.662398463533,2.86694970288262e-23
2.15509527155857,NA,NA,"+","+","+",43,-1650.64666097268,3388.76593805247,107.104758292378,3.11009670901066e-24
0.677553031127456,"+","+",NA,"+",NA,34,-1660.40018040059,3390.49540567661,108.83422591652,1.30985967058191e-24
2.18233547711238,NA,NA,NA,"+","+",41,-1657.3211158645,3397.10451335479,115.443333594695,4.80922696316279e-26
1.13748745152965,NA,"+","+","+",NA,32,-1675.03405745031,3415.50195902677,133.840779266676,4.86542413473788e-30
1.13460048515126,NA,"+",NA,"+",NA,31,-1678.46538816647,3420.48081900506,138.819639244973,4.03622155835542e-31
1.48694171953292,"+","+","+",NA,"+",23,-1701.46261866218,3450.90568732046,169.244507560371,9.98386699549197e-38
1.48607132687706,"+","+",NA,NA,"+",23,-1705.82719814743,3457.91095389514,176.249774135053,3.00693803063782e-39
0.77056341642472,"+",NA,"+","+",NA,31,-1701.49336097082,3465.44386016733,183.78268040724,6.95624171705026e-41
0.749042473695234,"+",NA,NA,"+",NA,29,-1711.46394996772,3482.88387774372,201.222697983625,1.1358551871924e-44
1.11674812787695,NA,NA,"+","+",NA,28,-1713.47383100871,3483.59743404988,201.936254289788,7.95016573821012e-45
2.01525721186159,NA,"+","+",NA,"+",20,-1728.04181371398,3498.02297682414,216.361797064046,5.86015859886713e-48
1.1086018523753,NA,NA,NA,"+",NA,27,-1723.97565066927,3502.12471475175,220.463534991658,7.53751684640965e-49
2.02056287815691,NA,"+",NA,NA,"+",20,-1733.11477641754,3506.48845109196,224.827271331866,8.50462148579735e-50
0.548361866160605,"+","+","+",NA,NA,9,-1758.06383556628,3535.90152601917,254.240346259077,3.48888714003074e-56
0.536907241635794,"+","+",NA,NA,NA,9,-1768.69661097297,3555.66168346574,274.000503705652,1.78576065729607e-60
1.0668373063091,NA,"+","+",NA,NA,6,-1785.44262258344,3584.57400163193,302.912821871835,9.41007600742801e-67
1.46792068686411,"+",NA,"+",NA,"+",20,-1778.63285550354,3598.8014285233,317.140248763209,7.65855148092325e-70
1.05630216450093,NA,"+",NA,NA,NA,6,-1796.71147809714,3605.63010454265,323.968924782555,2.51952388080516e-71
1.47199483109152,"+",NA,NA,NA,"+",17,-1793.96288349759,3623.92576699519,342.264587235097,2.68204373929833e-75
1.85497847478036,NA,NA,"+",NA,"+",17,-1796.52469214132,3628.54559784174,346.884418081645,2.66245535523913e-76
1.88031286656956,NA,NA,NA,NA,"+",15,-1813.01312605623,3656.02625211246,374.365072352369,2.87034486769375e-82
0.64484825268146,"+",NA,"+",NA,NA,5,-1834.41142441517,3678.82527526995,397.164095509857,3.21506016622853e-87
1.02281368843278,NA,NA,"+",NA,NA,2,-1851.98515291157,3707.97172315118,426.310543391087,1.50701773665517e-93
0.612121285313344,"+",NA,NA,NA,NA,3,-1854.91287152085,3717.8257430417,436.16456328161,1.09230804476094e-95
1.00811860984263,NA,NA,NA,NA,NA,0,-1874.18786377533,3750.37572755066,468.714547790568,9.33696655292467e-103
